controller,trajectory,run_id,duration_s,rmse_ex_m,rmse_ey_m,rmse_etheta_rad,rmse_position_m,mae_position_m,max_position_m
Backstepping,circle,sim,80.0,0.005531383158532496,0.004600638262308262,0.014808543810724231,0.007678355890544964,0.00518483792669678,0.05818888654974551
BSMC,circle,sim,80.0,0.005517532803415608,0.004592063192439151,0.014734203048466347,0.00767175037833683,0.005176279269299268,0.05818928325702011
