t,controller,trajectory,run_id,odom_x,odom_y,odom_yaw,odom_v,odom_w,desired_x,desired_y,desired_yaw,error_ex,error_ey,error_etheta,cmd_v,cmd_w
0.0,BSMC,circle,sim,-0.0498667430116947,0.029988341524187678,-0.08726767564272045,0.006688300417607425,-6.065215019869556e-05,0.0,0.0,0.0,0.052424407187017026,-0.025528053805369457,0.08726646259971647,0.04207058676758117,0.0002572433699764459
0.02,BSMC,circle,sim,-0.049615711749160435,0.029966378827682764,-0.08725989785691651,0.012599509395936313,0.00038888929019667215,1.5999999999317335e-05,1.2800005499968847e-10,1.6000000000000003e-05,0.05230661124757458,-0.02552659573582252,0.08728367564272047,0.043569964642544395,0.0023172055364254988
0.04,BSMC,circle,sim,-0.04926076930386639,0.02993532773545513,-0.08723877967593002,0.017814903157177184,0.001055909049324281,6.399999995630935e-05,2.047999991816596e-09,6.400000000000001e-05,0.05210223972328893,-0.02552281553030879,0.08732389785691651,0.04499985438797496,0.004377815165494424
0.06,BSMC,circle,sim,-0.048815524641451814,0.029896386294986393,-0.08719797857604249,0.022347217119501345,0.002040054994376638,0.00014399999950233597,1.0368000014082668e-08,0.00014399999999999998,0.051825097696645284,-0.025516929763247684,0.08738277967593001,0.04637132675908508,0.0064394343827221135
0.08,BSMC,circle,sim,-0.04829064618020391,0.029850501600608915,-0.08713727610480093,0.02634401280462445,0.0030351235620781126,0.0002559999972037974,3.2767999869065534e-08,0.00025600000000000004,0.05148868471406741,-0.025509249910338514,0.0874539785760425,0.04769521084293304,0.008502250074557998
0.1,BSMC,circle,sim,-0.047693578612834214,0.02979834267969033,-0.08704888601228233,0.02996707497555246,0.0044195046259296366,0.00039999998933333347,7.999999895869081e-08,0.0004000000000000001,0.051103705427946844,-0.02549976442390929,0.08753727610480094,0.04898009207480267,0.010566510875906203
0.12,BSMC,circle,sim,-0.0470308326016646,0.02974050521589787,-0.0869329693815076,0.0332632472685387,0.005795831538736889,0.0005759999681495045,1.6588799545136368e-07,0.0005759999999999999,0.050677435916702894,-0.025488841586139937,0.08762488601228233,0.05023181091942062,0.012632128666130338
0.14,BSMC,circle,sim,-0.046307856498434566,0.02967749594891502,-0.08678562573164235,0.03628583103524728,0.007367182493262335,0.000783999919684952,3.0732798428356745e-07,0.0007840000000000002,0.05021641825747994,-0.025476438464722702,0.08771696938150761,0.051455615378403805,0.014699211660283318
0.16,BSMC,circle,sim,-0.045531339636457044,0.02960993574652757,-0.08660886001261459,0.03897251653030804,0.008838285951388001,0.001023999821043039,5.242879541622614e-07,0.0010240000000000002,0.049726025162233234,-0.025462711779739657,0.08780962573164235,0.052655819498050496,0.016767641798408443
0.18,BSMC,circle,sim,-0.044706055855923396,0.029538279602943588,-0.08640206187264476,0.04141943750599575,0.010339906998490989,0.0012959996372029743,8.398078824578548e-07,0.0012959999999999998,0.04921302614523416,-0.025447520967332982,0.08790486001261459,0.053837852994913254,0.018837574108443177
0.2,BSMC,circle,sim,-0.04383652054143872,0.029462962443417506,-0.08616074099107306,0.04363955595715447,0.012066044078585556,0.001599999317333421,1.2799997269885566e-06,0.0016000000000000003,0.04868220153337071,-0.025430854195905423,0.08800206187264477,0.05500555180049695,0.020909033792800062
0.22,BSMC,circle,sim,-0.042927273815627984,0.029384426634131572,-0.08588394506508173,0.045631608610088796,0.013839796299566177,0.0019359987906145842,1.8740474146961006e-06,0.0019360000000000002,0.048137973975225255,-0.02541288486262078,0.08809674099107306,0.05616247116025069,0.02298173381790577
0.24,BSMC,circle,sim,-0.041980442702208,0.029302908516882806,-0.08557046279023926,0.047516690772293604,0.015674113742123442,0.0023039979615687967,2.6542068258805784e-06,0.0023039999999999996,0.0475848817046397,-0.02539361200593694,0.08818794506508174,0.0573122556511428,0.025055564157053095
0.26,BSMC,circle,sim,-0.040997412036440285,0.029218584211266455,-0.08522058183885597,0.04933203518904807,0.017494047569164235,0.0027039967048995946,3.6558057725510906e-06,0.0027040000000000007,0.04702503472841588,-0.02537304560647485,0.08827446279023926,0.058456602220803566,0.027130367381988096
0.28,BSMC,circle,sim,-0.03998096370368231,0.029131751582393284,-0.08483110685431354,0.05100752686132453,0.019473749227122666,0.0031359948598392857,4.9172439701150594e-06,0.0031360000000000008,0.04645983669165657,-0.025351124561511687,0.08835658183885597,0.05959663869634385,0.029206099175270405
0.3,BSMC,circle,sim,-0.03893237457958175,0.02904258461242338,-0.0844014680370935,0.052618673009578676,0.021481940861001633,0.0035999922240050387,6.4799930016290475e-06,0.0036,0.04589200549780447,-0.025327948912541955,0.08843110685431355,0.06073455482148453,0.03128236596497372
0.32,BSMC,circle,sim,-0.037852607899176084,0.028951233700351218,-0.08392860334752567,0.05418120230418224,0.023643234478391947,0.004095988546763486,8.388596271835524e-06,0.004096000000000001,0.04532281586135061,-0.02530349647845219,0.0884974680370935,0.06187137807425073,0.033358977934289526
0.34,BSMC,circle,sim,-0.03674464104531209,0.028858024631689298,-0.0834177583723088,0.055594030249256444,0.02554224876084315,0.004623983522103846,1.0690668951540694e-05,0.0046240000000000005,0.0447531652223525,-0.02527785695630598,0.08855260334752567,0.06300783949711551,0.03543544283364707
0.36,BSMC,circle,sim,-0.0356075584115835,0.028762951121212642,-0.08286996048744637,0.05705251721706698,0.027389894243121653,0.005183976781019614,1.3436897908225554e-05,0.005183999999999999,0.04418618306431575,-0.025250751683170734,0.08860175837230878,0.06414644193103343,0.03751220385783848
0.38,BSMC,circle,sim,-0.03444237910901857,0.02866617111363254,-0.08227876520398703,0.058459583837744473,0.029559764172967032,0.005775967883398813,1.6681041623556325e-05,0.005776000000000002,0.043620984955881875,-0.025222092767550018,0.08864596048744637,0.06528647540714444,0.039589299023474335
0.4,BSMC,circle,sim,-0.033247746806047494,0.02856765583304928,-0.08164801681269374,0.05993437243790855,0.031537419564664645,0.006399956309422813,2.0479930095018695e-05,0.006400000000000001,0.04305843994409767,-0.025192116532669586,0.08867876520398703,0.0664286577142127,0.041665783870025785
0.42,BSMC,circle,sim,-0.03202663535070048,0.028467732362438485,-0.08097609398900188,0.061259649981831574,0.0335961411845929,0.007055941450473815,2.4893464718567238e-05,0.007056000000000001,0.042497294152740055,-0.025160615262535522,0.08870401681269374,0.06757197604764854,0.04374200388794155
0.44,BSMC,circle,sim,-0.0307787894421306,0.028366465237551486,-0.08026362201754458,0.06259741292812082,0.03562359857286453,0.007743922599550954,2.99846181526231e-05,0.007744000000000002,0.04194050082579379,-0.02512761761336583,0.08872009398900188,0.06871880866926121,0.045817595521038104
0.46,BSMC,circle,sim,-0.029506711895504877,0.028264143865158298,-0.0795088102099796,0.06380930472661782,0.037740590378248784,0.008463898941195102,3.58194341593121e-05,0.008464000000000003,0.041387830150587855,-0.025093058773576395,0.08872762201754458,0.06986897303064268,0.0478925008354535
0.48,BSMC,circle,sim,-0.02820874063652403,0.028160725698255812,-0.07871293639041135,0.06510423769590183,0.039793690978412136,0.009215869540922409,4.246702742183306e-05,0.009215999999999998,0.04084175911243985,-0.02505697645838003,0.0887248102099796,0.07102446664807102,0.049966289258419325
0.5,BSMC,circle,sim,-0.026886414533634682,0.028056426034748852,-0.07787352411836991,0.06632165449893031,0.04197061360207223,0.009999833334166664,4.999958333473664e-05,0.01,0.04030066378335563,-0.02501928348699811,0.08871293639041135,0.07218398618518182,0.052038998299921854
