t,ros_time,controller,trajectory,run_id,odom_stamp,odom_x,odom_y,odom_yaw,odom_v,odom_w,camera_stamp,camera_x,camera_y,camera_yaw,camera_age_s,desired_stamp,desired_x,desired_y,desired_yaw,error_stamp,error_ex,error_ey,error_etheta,camera_error_ex,camera_error_ey,camera_error_etheta,cmd_stamp,cmd_v,cmd_w,espnow_link_stamp,espnow_rx_time,espnow_robot_time_ms,espnow_seq,espnow_interarrival_ms,espnow_seq_gap
0.04264688491821289,1784452578.2892413,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.270882,-0.02108579496305768,-0.012499740903555975,-0.000995615590467952,-5.346449937297197e-08,-5.120202902990614e-05,1784452578.2846563,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.0045850276947021484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.2854116,0.0,0.0,nan,nan,nan,nan,nan,nan
0.08242082595825195,1784452578.3290153,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.321752,-0.02108579500286082,-0.012499595758139132,-0.0010005140436799666,-4.804254450571029e-08,-5.4966235361306374e-05,1784452578.2846563,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.04435896873474121,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.3247485,0.0,0.0,nan,nan,nan,nan,nan,nan
0.12252569198608398,1784452578.3691201,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.321752,-0.02108579500286082,-0.012499595758139132,-0.0010005140436799666,-4.804254450571029e-08,-5.4966235361306374e-05,1784452578.3325558,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.03656435012817383,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.36498,0.0,0.0,nan,nan,nan,nan,nan,nan
0.1623549461364746,1784452578.4089494,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.371355,-0.021085794710383222,-0.01249946443998847,-0.0010046564050669123,-4.258513650547559e-08,-5.729531475693415e-05,1784452578.3821826,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.02676677703857422,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.4047885,0.0,0.0,nan,nan,nan,nan,nan,nan
0.20241379737854004,1784452578.4490082,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.421085,-0.021085794187730454,-0.01249934514667822,-0.0010081566362953238,-3.7152716507808697e-08,-5.836937262025113e-05,1784452578.4302442,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.018764019012451172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.4449234,0.0,0.0,nan,nan,nan,nan,nan,nan
0.24231457710266113,1784452578.488909,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.4710858,-0.021085793530716768,-0.012499237154448754,-0.0010110926510307479,-3.197692686424722e-08,-5.83981760774376e-05,1784452578.4808106,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.008098363876342773,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.484959,0.0,0.0,nan,nan,nan,nan,nan,nan
0.28236889839172363,1784452578.5289633,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.5210161,-0.0210857927479534,-0.012499139008013502,-0.0010134737573811198,-2.706746523019243e-08,-5.751535396387431e-05,1784452578.4808106,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.04815268516540527,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.5257301,0.0,0.0,nan,nan,nan,nan,nan,nan
0.3224983215332031,1784452578.5690928,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.5210161,-0.0210857927479534,-0.012499139008013502,-0.0010134737573811198,-2.706746523019243e-08,-5.751535396387431e-05,1784452578.5333426,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.03575015068054199,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.564932,0.0,0.0,nan,nan,nan,nan,nan,nan
0.3627598285675049,1784452578.6093543,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.570913,-0.02108579187183151,-0.01249904951785957,-0.0010153284756871377,-2.244684310487794e-08,-5.5828402237468405e-05,1784452578.5832255,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.026128768920898438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.6049514,0.0,0.0,nan,nan,nan,nan,nan,nan
0.4026663303375244,1784452578.6492608,BSMC,eight,eight_bsmc_undistorted_r01,1784452578.6210086,-0.021085790983461594,-0.012498968330612342,-0.0010167489398164738,-1.8272787627538493e-08,-5.354089601413649e-05,1784452578.6321216,-0.02108578383922577,-0.012498194351792336,-0.0010088418582103664,0.017139196395874023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784452578.6453607,0.0,0.0,nan,nan,nan,nan,nan,nan
