t,ros_time,controller,trajectory,run_id,odom_stamp,odom_x,odom_y,odom_yaw,odom_v,odom_w,camera_stamp,camera_x,camera_y,camera_yaw,camera_age_s,desired_stamp,desired_x,desired_y,desired_yaw,error_stamp,error_ex,error_ey,error_etheta,camera_error_ex,camera_error_ey,camera_error_etheta,cmd_stamp,cmd_v,cmd_w,espnow_link_stamp,espnow_rx_time,espnow_robot_time_ms,espnow_seq,espnow_interarrival_ms,espnow_seq_gap
0.04259824752807617,1784459851.1638823,BSMC,circle,final_circle_bsmc_r01,nan,nan,nan,nan,nan,nan,1784459851.1593564,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.004525899887084961,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.1596177,0.0,0.0,1784459851.1500323,20330.810546875,nan,nan,52.35682678222656,nan
0.08298110961914062,1784459851.204265,BSMC,circle,final_circle_bsmc_r01,1784459851.1711397,1.052311242111853,0.03715402530696571,1.611889408806856,2.0410560244998e-08,-8.512038278542294e-06,1784459851.1593564,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.044908761978149414,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.1990955,0.0,0.0,1784459851.197695,20330.859375,nan,nan,47.95101547241211,nan
0.12267279624938965,1784459851.2439568,BSMC,circle,final_circle_bsmc_r01,1784459851.220614,1.0523112143300999,0.03715402863303308,1.6118892569630323,1.7374362761048982e-08,-7.859877257051912e-06,1784459851.2091632,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.03479361534118652,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.2391205,0.0,0.0,1784459851.197695,20330.859375,nan,nan,47.95101547241211,nan
0.16235995292663574,1784459851.283644,BSMC,circle,final_circle_bsmc_r01,1784459851.270986,1.0523111891070118,0.03715403152797767,1.611889143703215,1.4646837473249187e-08,-7.2012094867028075e-06,1784459851.2595615,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.024082422256469727,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.2788978,0.0,0.0,1784459851.2520967,20330.9140625,nan,nan,54.40985107421875,nan
0.2022697925567627,1784459851.3235538,BSMC,circle,final_circle_bsmc_r01,1784459851.3211467,1.0523111662041957,0.03715403402000045,1.611889071416094,1.2596329088063818e-08,-6.554887935816779e-06,1784459851.3081043,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.01544952392578125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.3191667,0.0,0.0,1784459851.2978444,20330.958984375,nan,nan,45.89210891723633,nan
0.2427690029144287,1784459851.364053,BSMC,circle,final_circle_bsmc_r01,1784459851.3211467,1.0523111662041957,0.03715403402000045,1.611889071416094,1.2596329088063818e-08,-6.554887935816779e-06,1784459851.359981,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.004071950912475586,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.3587677,0.0,0.0,1784459851.3543074,20331.015625,nan,nan,56.35898208618164,nan
0.2823646068572998,1784459851.4036486,BSMC,circle,final_circle_bsmc_r01,1784459851.3707974,1.0523111452940073,0.03715403618009521,1.6118890396576393,1.0747395659702643e-08,-5.91327238662549e-06,1784459851.359981,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.04366755485534668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.3988485,0.0,0.0,1784459851.3996148,20331.060546875,nan,nan,45.36982727050781,nan
0.32228636741638184,1784459851.4435704,BSMC,circle,final_circle_bsmc_r01,1784459851.4213202,1.0523111263166078,0.037154038047241024,1.6118890309257878,9.311090736524265e-09,-5.299335718653061e-06,1784459851.4092607,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.03430962562561035,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.4386477,0.0,0.0,1784459851.3996148,20331.060546875,nan,nan,45.36982727050781,nan
0.3623239994049072,1784459851.483608,BSMC,circle,final_circle_bsmc_r01,1784459851.4707367,1.0523111090836628,0.037154039652255784,1.6118890510336017,7.938724586312704e-09,-4.71124103902844e-06,1784459851.4595766,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.024031400680541992,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.4790225,0.0,0.0,1784459851.4567611,20331.119140625,nan,nan,57.11562728881836,nan
0.40232014656066895,1784459851.5236042,BSMC,circle,final_circle_bsmc_r01,1784459851.521033,1.0523110934319397,0.037154041037722255,1.6118890856751085,6.879748143239974e-09,-4.158405896726811e-06,1784459851.510121,1.0523109436035156,0.037154048681259155,1.6118903316609858,0.013483047485351562,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784459851.5188026,0.0,0.0,1784459851.5025492,20331.162109375,nan,nan,44.885520935058594,nan
