trajectory,controller,n,position_rmse_mean_cm,position_rmse_std_cm,heading_rmse_mean_deg,heading_rmse_std_deg
square,BSMC,1,3.03,--,22.14,--
square,Backstepping,1,3.22,--,22.26,--
