file,controller,trajectory,run_id,source,status,odom_topic,start_camera_x,start_camera_y,start_camera_yaw,k1,k2,k3,ks1,ks2,phi1,phi2,yaw_bias_gain,radius_feedback_gain,radius_position_gain,side_length,corner_radius,corner_speed,desired_speed,max_w,min_v,max_w_accel,square_laps,turn_feedforward_scale,path_following,path_lookahead,max_progress_rate,k2_straight,k3_straight,ki_y_straight,ey_integral_limit,stop_turn_go,sharp_corner_w
/home/hoang/Paper1/paper_logs/square_continuous_sharp/20260717_162934_square_BSMC_fusion_square_continuous_sharp_v1.csv,BSMC,square,square_continuous_sharp_v1,fusion,complete,/odometry/filtered,-1.0200232565402985,-0.9989656612277031,0.012290187538539426,0.8,3.0,9.0,0.08,0.1,1.0,1.5,0.0,0.0,0.0,2.0,0.0,0.04,0.1,0.85,0.02,0.0,1.0,1.0,True,0.0,0.3,2.0,11.0,0.0,0.4,False,
/home/hoang/Paper1/paper_logs/square_continuous_sharp/20260717_163737_square_BSMC_fusion_square_continuous_sharp_v2_balanced.csv,BSMC,square,square_continuous_sharp_v2_balanced,fusion,complete,/odometry/filtered,-1.0077751755714417,-1.0054087311029434,0.026367321193312976,0.8,3.0,9.0,0.08,0.1,1.0,1.5,0.0,0.0,0.0,2.0,0.0,0.04,0.1,0.85,0.02,0.0,1.0,1.0,True,0.0,0.3,4.0,7.0,0.0,0.4,False,
/home/hoang/Paper1/paper_logs/square_continuous_sharp/20260717_164303_square_BSMC_fusion_square_continuous_sharp_v3_corner_boost.csv,BSMC,square,square_continuous_sharp_v3_corner_boost,fusion,complete,/odometry/filtered,-1.0352140843868256,-1.0028870701789856,0.01912869215449661,0.8,3.0,9.0,0.08,0.1,1.0,1.5,0.0,0.0,0.0,2.0,0.0,0.04,0.1,0.85,0.02,0.0,1.0,1.0,True,0.0,0.3,4.0,7.0,0.0,0.4,False,0.7
/home/hoang/Paper1/paper_logs/square_continuous_sharp/20260717_164700_square_BSMC_fusion_square_continuous_sharp_v4_soft_corner.csv,BSMC,square,square_continuous_sharp_v4_soft_corner,fusion,complete,/odometry/filtered,-1.0148627990629615,-1.0051167272939914,0.02708443619715787,0.8,3.0,9.0,0.08,0.1,1.0,1.5,0.0,0.0,0.0,2.0,0.0,0.04,0.1,0.85,0.02,0.0,1.0,1.0,True,0.0,0.3,4.0,7.0,0.0,0.4,False,0.55
