edge,start_s,end_s,duration_s,lateral_bias_m,lateral_waviness_rms_m,lateral_peak_to_peak_m,heading_rmse_deg,cmd_w_rms_rad_s,zero_crossings_per_m
1,7.479183673858643,13.960041761398315,6.480858087539673,0.04149884967109679,0.009482060074514945,0.02791508989198581,1.5534728148268926,0.015841268139118566,1.4089859626482042
2,20.199196815490723,26.439369678497314,6.240172863006592,0.026257385946053046,0.0032648855222757213,0.015309035117928369,1.4512877486442894,0.02075933785325657,1.4079439875554014
3,31.879544496536255,38.2392942905426,6.359749794006348,0.022403830533689096,0.006084645008660215,0.023122336813084857,2.2000427678470182,0.030947200405640828,4.208461334569134
4,43.99923586845398,50.439279079437256,6.440043210983276,0.0055566153036594925,0.0057385511748910545,0.02273463656838281,2.580245804076787,0.03911616638677082,2.8261352000985362
