camera_max_position_m,camera_rmse_heading_deg,camera_rmse_position_m,command_saturation_fraction,convergence_time_s,file,k1,k2,k3,ks1,ks2,mean_score,phi1,phi2,rejected_max_error,repeat,result_type,score,score_std,trajectory_closure_error_m,trial,worst_camera_error_m,worst_trajectory_closure_m
0.11333203292967077,6.274877610710423,0.07399906976282972,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_191220_eight_BSMC_fusion_optuna_t001_r01.csv,0.4,2.4,3.5,0.0225,0.07500000000000001,,1.0,1.5,,1,run,0.17646380200616302,,0.0023675105213343925,1,,
0.11330213191255825,5.6582109355595,0.07600413703574092,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_191351_eight_BSMC_fusion_optuna_t001_r02.csv,0.4,2.4,3.5,0.0225,0.07500000000000001,,1.0,1.5,,2,run,0.17738818896058953,,0.002546943078035948,1,,
,,,,,,0.4,2.4,3.5,0.0225,0.07500000000000001,0.17692599548337629,1.0,1.5,True,all,candidate,5.113332032929671,0.0006536402839153648,,1,0.11333203292967077,0.002546943078035948
0.12222229504377241,5.766853459437896,0.08562724889047939,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_191522_eight_BSMC_fusion_optuna_t002_r01.csv,0.5745401188473624,3.8521429192297485,4.793972738151323,0.06290944768329998,0.11010419409954823,,1.0,1.5,,1,run,0.18945577758803253,,0.0010108580463524305,2,,
0.12717108024581242,6.71013252857065,0.08702349826722056,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_191654_eight_BSMC_fusion_optuna_t002_r02.csv,0.5745401188473624,3.8521429192297485,4.793972738151323,0.06290944768329998,0.11010419409954823,,1.0,1.5,,2,run,0.19376910164100092,,0.0008109372718906363,2,,
,,,,,,0.5745401188473624,3.8521429192297485,4.793972738151323,0.06290944768329998,0.11010419409954823,0.19161243961451674,1.0,1.5,True,all,candidate,5.127171080245812,0.0030499806873089895,,2,0.12717108024581242,0.0010108580463524305
0.11331971009186441,5.574752852328866,0.0814059752147247,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_191825_eight_BSMC_fusion_optuna_t003_r01.csv,0.35599452033620266,1.1742508365045983,5.3977926559872085,0.0630752632926666,0.23431633000411026,,1.0,1.5,,1,run,0.18274725134076544,,0.0011345842842899138,3,,
0.11373001150540975,5.68012472577414,0.07952021950403391,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_191956_eight_BSMC_fusion_optuna_t003_r02.csv,0.35599452033620266,1.1742508365045983,5.3977926559872085,0.0630752632926666,0.23431633000411026,,1.0,1.5,,2,run,0.1810694476773316,,0.0003016739344456125,3,,
,,,,,,0.35599452033620266,1.1742508365045983,5.3977926559872085,0.0630752632926666,0.23431633000411026,0.18190834950904852,1.0,1.5,True,all,candidate,5.113730011505409,0.0011863863479137009,,3,0.11373001150540975,0.0011345842842899138
0.10822146640033896,6.459955662088704,0.06941594064553776,0.0,nan,/home/hoang/Paper1/paper_logs/optuna_tuning_v3/eight/20260712_192128_eight_BSMC_fusion_optuna_t004_r01.csv,0.22058449429580246,3.909729556485983,5.2459918836018975,0.03683288997078364,0.11591061762159766,,1.0,1.5,,1,run,0.17089083933580465,,0.002162339324808396,4,,
