t,ros_time,controller,trajectory,run_id,odom_stamp,odom_x,odom_y,odom_yaw,odom_v,odom_w,camera_stamp,camera_x,camera_y,camera_yaw,camera_age_s,desired_stamp,desired_x,desired_y,desired_yaw,error_stamp,error_ex,error_ey,error_etheta,camera_error_ex,camera_error_ey,camera_error_etheta,cmd_stamp,cmd_v,cmd_w,espnow_link_stamp,espnow_rx_time,espnow_robot_time_ms,espnow_seq,espnow_interarrival_ms,espnow_seq_gap
0.04401969909667969,1784466446.9070497,Backstepping,square,final_square_2m_2laps_bs_r01,1784466446.8654761,-1.012087141741507,-0.9938622242782794,0.03785543516475859,1.1688730097367916e-06,0.00018361968995656445,1784466446.8915925,-1.0120856761932373,-0.993843674659729,0.037737843712422274,0.0154571533203125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466446.889855,0.0,0.0,1784466446.8992507,26926.560546875,nan,nan,45.09463882446289,nan
0.08422231674194336,1784466446.9472523,Backstepping,square,final_square_2m_2laps_bs_r01,1784466446.9153752,-1.0120869348808224,-0.9938605108513219,0.03784476817913214,9.747064949390112e-07,0.00014914468814569676,1784466446.938437,-1.0120854377746582,-0.9938491582870483,0.037716874669927285,0.008815288543701172,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466446.929559,0.0,0.0,1784466446.8992507,26926.560546875,nan,nan,45.09463882446289,nan
0.12354373931884766,1784466446.9865737,Backstepping,square,final_square_2m_2laps_bs_r01,1784466446.9654646,-1.0120867336887367,-0.9938594617221822,0.03783131982128634,8.094793791049762e-07,0.00011391076920044754,1784466446.938437,-1.0120854377746582,-0.9938491582870483,0.037716874669927285,0.04813671112060547,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466446.9692414,0.0,0.0,1784466446.9557834,26926.6171875,nan,nan,56.9268913269043,nan
0.16367840766906738,1784466447.0267084,Backstepping,square,final_square_2m_2laps_bs_r01,1784466447.0154233,-1.0120865191402317,-0.9938587628150904,0.03781657774905576,7.106042041892009e-07,8.026433086993121e-05,1784466446.988143,-1.0120850801467896,-0.9938519597053528,0.037705231376983006,0.03856539726257324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466447.009651,0.0,0.0,1784466446.9988496,26926.66015625,nan,nan,43.063968658447266,nan
0.20377135276794434,1784466447.0668013,Backstepping,square,final_square_2m_2laps_bs_r01,1784466447.0657156,-1.012086329355275,-0.993858120712447,0.037802495870709635,6.281547064623035e-07,5.06812526776788e-05,1784466447.0420117,-1.0120850801467896,-0.9938519597053528,0.037705231376983006,0.02478957176208496,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466447.049276,0.0,0.0,1784466447.0490072,26926.7109375,nan,nan,49.96243667602539,nan
0.24348950386047363,1784466447.1065195,Backstepping,square,final_square_2m_2laps_bs_r01,1784466447.0657156,-1.012086329355275,-0.993858120712447,0.037802495870709635,6.281547064623035e-07,5.06812526776788e-05,1784466447.092929,-1.0120853185653687,-0.9938498735427856,0.03768090528438588,0.013590574264526367,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466447.089809,0.0,0.0,1784466447.099852,26926.76171875,nan,nan,51.09895324707031,nan
0.28417205810546875,1784466447.147202,Backstepping,square,final_square_2m_2laps_bs_r01,1784466447.1155014,-1.0120861908612524,-0.9938573433344599,0.03778574792684631,5.390129365823692e-07,2.0245734443858852e-05,1784466447.1421888,-1.012086033821106,-0.993842363357544,0.03769717245937372,0.005013227462768555,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466447.1292312,0.0,0.0,1784466447.099852,26926.76171875,nan,nan,51.09895324707031,nan
0.32367730140686035,1784466447.1867073,Backstepping,square,final_square_2m_2laps_bs_r01,1784466447.1655183,-1.01208614924655,-0.9938559323075153,0.03777292078989643,4.2990685505063435e-07,-1.125665491388435e-06,1784466447.1421888,-1.012086033821106,-0.993842363357544,0.03769717245937372,0.044518470764160156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466447.169251,0.0,0.0,1784466447.1513243,26926.8125,nan,nan,51.465572357177734,nan
0.3637049198150635,1784466447.2267349,Backstepping,square,final_square_2m_2laps_bs_r01,1784466447.2154276,-1.0120863684782644,-0.9938514552352797,0.037842599477225215,2.639140366641914e-07,0.00010334132247668207,1784466447.1896281,-1.012088418006897,-0.9938083291053772,0.03822816967794571,0.03710675239562988,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466447.209565,0.0,0.0,1784466447.2019742,26926.86328125,nan,nan,50.5610466003418,nan
0.4035964012145996,1784466447.2666264,Backstepping,square,final_square_2m_2laps_bs_r01,1784466447.265575,-1.012086569483158,-0.9938473755678101,0.03790493740767353,1.5168084494328854e-07,0.00018622870288475396,1784466447.2427864,-1.012088418006897,-0.9938083291053772,0.038222910396559805,0.023839950561523438,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784466447.2497394,0.0,0.0,1784466447.2535727,26926.9140625,nan,nan,51.6460075378418,nan
