t,ros_time,condition,distance_m,rx_time,robot_time_ms,seq,interarrival_ms,seq_gap
0.0,1783850078.4208407,moving,20.0,19408.841796875,nan,nan,41.51908874511719,nan
0.04911184310913086,1783850078.4699526,moving,20.0,19408.89453125,nan,nan,51.776668548583984,nan
0.09801959991455078,1783850078.5188603,moving,20.0,19408.94140625,nan,nan,48.33078384399414,nan
0.16117167472839355,1783850078.5820124,moving,20.0,19409.005859375,nan,nan,63.74677276611328,nan
0.20025229454040527,1783850078.621093,moving,20.0,19409.044921875,nan,nan,39.12871551513672,nan
0.25936055183410645,1783850078.6802013,moving,20.0,19409.103515625,nan,nan,58.90243148803711,nan
0.3022134304046631,1783850078.7230542,moving,20.0,19409.146484375,nan,nan,42.940528869628906,nan
0.3480384349822998,1783850078.7688792,moving,20.0,19409.193359375,nan,nan,45.88068771362305,nan
0.42482995986938477,1783850078.8456707,moving,20.0,19409.26953125,nan,nan,76.78545379638672,nan
0.4772071838378906,1783850078.898048,moving,20.0,19409.322265625,nan,nan,52.350975036621094,nan
0.5008571147918701,1783850078.9216979,moving,20.0,19409.345703125,nan,nan,23.515792846679688,nan
0.5512402057647705,1783850078.972081,moving,20.0,19409.396484375,nan,nan,50.477333068847656,nan
0.6002964973449707,1783850079.0211372,moving,20.0,19409.4453125,nan,nan,48.91360855102539,nan
0.6512026786804199,1783850079.0720434,moving,20.0,19409.49609375,nan,nan,50.82337951660156,nan
0.699059009552002,1783850079.1198997,moving,20.0,19409.54296875,nan,nan,47.98542404174805,nan
0.7502703666687012,1783850079.171111,moving,20.0,19409.595703125,nan,nan,51.23358917236328,nan
0.800980806350708,1783850079.2218215,moving,20.0,19409.646484375,nan,nan,50.83012008666992,nan
0.8491437435150146,1783850079.2699845,moving,20.0,19409.693359375,nan,nan,47.98188781738281,nan
0.904233455657959,1783850079.3250742,moving,20.0,19409.75,nan,nan,55.295658111572266,nan
0.9490525722503662,1783850079.3698933,moving,20.0,19409.79296875,nan,nan,44.7527961730957,nan
1.0058796405792236,1783850079.4267204,moving,20.0,19409.849609375,nan,nan,56.69005584716797,nan
1.0522372722625732,1783850079.473078,moving,20.0,19409.896484375,nan,nan,46.476680755615234,nan
1.1091601848602295,1783850079.530001,moving,20.0,19409.953125,nan,nan,56.9027214050293,nan
1.1503643989562988,1783850079.5712051,moving,20.0,19409.994140625,nan,nan,41.167911529541016,nan
1.210160493850708,1783850079.6310012,moving,20.0,19410.0546875,nan,nan,59.94140625,nan
1.250035047531128,1783850079.6708758,moving,20.0,19410.095703125,nan,nan,39.772579193115234,nan
1.3001651763916016,1783850079.721006,moving,20.0,19410.14453125,nan,nan,50.218650817871094,nan
1.3512816429138184,1783850079.7721224,moving,20.0,19410.1953125,nan,nan,51.10063934326172,nan
1.419084072113037,1783850079.8399248,moving,20.0,19410.263671875,nan,nan,67.64214324951172,nan
