t,ros_time,condition,distance_m,rx_time,robot_time_ms,seq,interarrival_ms,seq_gap
0.0,1783764353.7389958,Static,20.0,20061.42578125,nan,nan,46.25595474243164,nan
0.05367612838745117,1783764353.792672,Static,20.0,20061.48046875,nan,nan,53.94111633300781,nan
0.0998847484588623,1783764353.8388805,Static,20.0,20061.52734375,nan,nan,46.24185562133789,nan
0.4065423011779785,1783764354.145538,Static,20.0,20061.833984375,nan,nan,306.5960693359375,nan
0.4077262878417969,1783764354.146722,Static,20.0,20061.833984375,nan,nan,1.3652030229568481,nan
0.41059327125549316,1783764354.149589,Static,20.0,20061.837890625,nan,nan,2.7241060733795166,nan
0.4690873622894287,1783764354.2080832,Static,20.0,20061.896484375,nan,nan,58.5222282409668,nan
0.6944091320037842,1783764354.433405,Static,20.0,20062.12109375,nan,nan,225.28273010253906,nan
0.8879992961883545,1783764354.626995,Static,20.0,20062.314453125,nan,nan,193.5803680419922,nan
0.896275520324707,1783764354.6352713,Static,20.0,20062.322265625,nan,nan,8.42322826385498,nan
0.9097836017608643,1783764354.6487794,Static,20.0,20062.3359375,nan,nan,13.365910530090332,nan
0.9595150947570801,1783764354.698511,Static,20.0,20062.38671875,nan,nan,49.785335540771484,nan
1.0020151138305664,1783764354.741011,Static,20.0,20062.427734375,nan,nan,42.454742431640625,nan
1.061793327331543,1783764354.800789,Static,20.0,20062.48828125,nan,nan,59.774864196777344,nan
1.1024913787841797,1783764354.8414872,Static,20.0,20062.529296875,nan,nan,40.783939361572266,nan
1.155500888824463,1783764354.8944967,Static,20.0,20062.58203125,nan,nan,52.88530731201172,nan
1.2044713497161865,1783764354.9434671,Static,20.0,20062.630859375,nan,nan,49.03795623779297,nan
1.2697160243988037,1783764355.0087118,Static,20.0,20062.697265625,nan,nan,65.18830108642578,nan
1.3261733055114746,1783764355.065169,Static,20.0,20062.751953125,nan,nan,56.569915771484375,nan
1.352752923965454,1783764355.0917487,Static,20.0,20062.779296875,nan,nan,26.543285369873047,nan
1.4036028385162354,1783764355.1425986,Static,20.0,20062.830078125,nan,nan,50.878177642822266,nan
1.454348087310791,1783764355.1933439,Static,20.0,20062.880859375,nan,nan,50.6755256652832,nan
1.5044105052947998,1783764355.2434063,Static,20.0,20062.931640625,nan,nan,50.076011657714844,nan
1.555422306060791,1783764355.294418,Static,20.0,20062.982421875,nan,nan,51.059444427490234,nan
1.6036107540130615,1783764355.3426065,Static,20.0,20063.03125,nan,nan,48.17742919921875,nan
1.6577517986297607,1783764355.3967476,Static,20.0,20063.083984375,nan,nan,54.07373809814453,nan
1.7038178443908691,1783764355.4428136,Static,20.0,20063.130859375,nan,nan,46.15989685058594,nan
1.7611348628997803,1783764355.5001307,Static,20.0,20063.1875,nan,nan,57.19350814819336,nan
1.8053486347198486,1783764355.5443444,Static,20.0,20063.232421875,nan,nan,44.25542449951172,nan
1.8639023303985596,1783764355.6028981,Static,20.0,20063.291015625,nan,nan,58.486873626708984,nan
1.9068431854248047,1783764355.645839,Static,20.0,20063.333984375,nan,nan,42.928409576416016,nan
1.9607183933258057,1783764355.6997142,Static,20.0,20063.38671875,nan,nan,53.90483474731445,nan
2.0045950412750244,1783764355.7435908,Static,20.0,20063.431640625,nan,nan,43.94795227050781,nan
2.067239284515381,1783764355.806235,Static,20.0,20063.494140625,nan,nan,62.43444061279297,nan
2.1095902919769287,1783764355.848586,Static,20.0,20063.537109375,nan,nan,42.54795837402344,nan
