t,ros_time,condition,distance_m,rx_time,robot_time_ms,seq,interarrival_ms,seq_gap
0.0,1783849834.9474547,static,10.0,19165.369140625,nan,nan,65.17986297607422,nan
0.03525853157043457,1783849834.9827132,static,10.0,19165.40625,nan,nan,38.149269104003906,nan
0.09854412078857422,1783849835.0459988,static,10.0,19165.466796875,nan,nan,60.821754455566406,nan
0.1295337677001953,1783849835.0769885,static,10.0,19165.501953125,nan,nan,33.51980209350586,nan
0.17974472045898438,1783849835.1271994,static,10.0,19165.55078125,nan,nan,50.24844741821289,nan
0.22996139526367188,1783849835.177416,static,10.0,19165.6015625,nan,nan,50.02863693237305,nan
0.28282856941223145,1783849835.2302833,static,10.0,19165.654296875,nan,nan,52.93168640136719,nan
0.32975149154663086,1783849835.2772062,static,10.0,19165.701171875,nan,nan,47.03263854980469,nan
0.38167500495910645,1783849835.3291297,static,10.0,19165.75390625,nan,nan,51.9483528137207,nan
0.4296383857727051,1783849835.377093,static,10.0,19165.80078125,nan,nan,47.960296630859375,nan
0.4865915775299072,1783849835.4340463,static,10.0,19165.857421875,nan,nan,56.895782470703125,nan
0.5298562049865723,1783849835.477311,static,10.0,19165.900390625,nan,nan,43.259132385253906,nan
0.58036208152771,1783849835.5278168,static,10.0,19165.951171875,nan,nan,50.066558837890625,nan
0.6327323913574219,1783849835.580187,static,10.0,19166.00390625,nan,nan,51.577579498291016,nan
0.6808488368988037,1783849835.6283035,static,10.0,19166.052734375,nan,nan,49.350711822509766,nan
0.7313461303710938,1783849835.6788008,static,10.0,19166.103515625,nan,nan,50.487239837646484,nan
0.7808592319488525,1783849835.728314,static,10.0,19166.15234375,nan,nan,49.55652618408203,nan
0.8308107852935791,1783849835.7782655,static,10.0,19166.203125,nan,nan,49.909000396728516,nan
0.8855047225952148,1783849835.8329594,static,10.0,19166.2578125,nan,nan,54.706443786621094,nan
0.9306998252868652,1783849835.8781545,static,10.0,19166.302734375,nan,nan,45.04741668701172,nan
0.9839224815368652,1783849835.9313772,static,10.0,19166.35546875,nan,nan,53.259342193603516,nan
1.0367305278778076,1783849835.9841852,static,10.0,19166.408203125,nan,nan,53.0141487121582,nan
1.0959303379058838,1783849836.043385,static,10.0,19166.466796875,nan,nan,59.11088562011719,nan
1.1323597431182861,1783849836.0798144,static,10.0,19166.50390625,nan,nan,36.35272979736328,nan
1.1932651996612549,1783849836.14072,static,10.0,19166.564453125,nan,nan,61.02248764038086,nan
1.3007292747497559,1783849836.248184,static,10.0,19166.671875,nan,nan,107.41781616210938,nan
1.3249866962432861,1783849836.2724414,static,10.0,19166.6953125,nan,nan,24.027416229248047,nan
1.3574974536895752,1783849836.3049521,static,10.0,19166.728515625,nan,nan,32.81734085083008,nan
1.3934648036956787,1783849836.3409195,static,10.0,19166.765625,nan,nan,35.854488372802734,nan
1.4314525127410889,1783849836.3789072,static,10.0,19166.802734375,nan,nan,37.90324783325195,nan
1.48191237449646,1783849836.429367,static,10.0,19166.853515625,nan,nan,50.405601501464844,nan
1.5316975116729736,1783849836.4791522,static,10.0,19166.90234375,nan,nan,49.9483528137207,nan
1.5820775032043457,1783849836.5295322,static,10.0,19166.953125,nan,nan,50.34028244018555,nan
1.631990909576416,1783849836.5794456,static,10.0,19167.00390625,nan,nan,49.790897369384766,nan
1.6821987628936768,1783849836.6296535,static,10.0,19167.052734375,nan,nan,50.11740493774414,nan
1.7338287830352783,1783849836.6812835,static,10.0,19167.10546875,nan,nan,51.871734619140625,nan
1.7819652557373047,1783849836.72942,static,10.0,19167.154296875,nan,nan,48.10917663574219,nan
1.8368916511535645,1783849836.7843463,static,10.0,19167.208984375,nan,nan,54.93159484863281,nan
1.8836033344268799,1783849836.831058,static,10.0,19167.255859375,nan,nan,46.850608825683594,nan
1.9428482055664062,1783849836.890303,static,10.0,19167.3125,nan,nan,58.233882904052734,nan
2.013746500015259,1783849836.9612012,static,10.0,19167.384765625,nan,nan,71.83488464355469,nan
2.0482630729675293,1783849836.9957178,static,10.0,19167.419921875,nan,nan,34.55232238769531,nan
2.0903329849243164,1783849837.0377877,static,10.0,19167.4609375,nan,nan,42.00218200683594,nan
2.142719030380249,1783849837.0901737,static,10.0,19167.513671875,nan,nan,52.411888122558594,nan
2.1868481636047363,1783849837.1343029,static,10.0,19167.55859375,nan,nan,44.131378173828125,nan
2.244873046875,1783849837.1923277,static,10.0,19167.6171875,nan,nan,57.97760009765625,nan
2.2897164821624756,1783849837.2371712,static,10.0,19167.66015625,nan,nan,44.78120803833008,nan
2.348851442337036,1783849837.2963061,static,10.0,19167.720703125,nan,nan,59.2270622253418,nan
2.391866683959961,1783849837.3393214,static,10.0,19167.763671875,nan,nan,42.95841979980469,nan
2.449751615524292,1783849837.3972063,static,10.0,19167.8203125,nan,nan,57.85380172729492,nan
2.4836337566375732,1783849837.4310884,static,10.0,19167.85546875,nan,nan,34.01567077636719,nan
2.5333070755004883,1783849837.4807618,static,10.0,19167.904296875,nan,nan,49.6305046081543,nan
2.5836310386657715,1783849837.5310857,static,10.0,19167.955078125,nan,nan,50.382774353027344,nan
2.63576078414917,1783849837.5832155,static,10.0,19168.0078125,nan,nan,52.114383697509766,nan
2.6838431358337402,1783849837.6312978,static,10.0,19168.0546875,nan,nan,48.039146423339844,nan
2.737699270248413,1783849837.685154,static,10.0,19168.109375,nan,nan,53.868221282958984,nan
2.783777952194214,1783849837.7312326,static,10.0,19168.154296875,nan,nan,45.977027893066406,nan
2.8408284187316895,1783849837.788283,static,10.0,19168.212890625,nan,nan,57.183616638183594,nan
2.883779764175415,1783849837.8312345,static,10.0,19168.255859375,nan,nan,42.98360824584961,nan
2.9339547157287598,1783849837.8814094,static,10.0,19168.3046875,nan,nan,50.06297302246094,nan
2.9861011505126953,1783849837.9335558,static,10.0,19168.357421875,nan,nan,52.12200164794922,nan
3.0346245765686035,1783849837.9820793,static,10.0,19168.40625,nan,nan,48.709739685058594,nan
3.0847580432891846,1783849838.0322127,static,10.0,19168.45703125,nan,nan,50.07667922973633,nan
3.136028528213501,1783849838.0834832,static,10.0,19168.5078125,nan,nan,51.09316635131836,nan
3.184260845184326,1783849838.1317155,static,10.0,19168.556640625,nan,nan,48.32456970214844,nan
3.2367846965789795,1783849838.1842394,static,10.0,19168.607421875,nan,nan,52.601951599121094,nan
3.285468339920044,1783849838.232923,static,10.0,19168.65625,nan,nan,48.585411071777344,nan
3.338869571685791,1783849838.2863243,static,10.0,19168.7109375,nan,nan,53.52854537963867,nan
3.425379514694214,1783849838.3728342,static,10.0,19168.796875,nan,nan,85.73345184326172,nan
3.4759397506713867,1783849838.4233944,static,10.0,19168.84765625,nan,nan,51.32700729370117,nan
3.485109329223633,1783849838.432564,static,10.0,19168.857421875,nan,nan,9.044453620910645,nan
3.54461669921875,1783849838.4920714,static,10.0,19168.916015625,nan,nan,59.573402404785156,nan
3.5847883224487305,1783849838.532243,static,10.0,19168.95703125,nan,nan,40.1728630065918,nan
3.636160135269165,1783849838.5836148,static,10.0,19169.0078125,nan,nan,51.27446365356445,nan
