controller,n,rmse_ex_m_mean,rmse_ex_m_std,rmse_ey_m_mean,rmse_ey_m_std,rmse_etheta_rad_mean,rmse_etheta_rad_std,max_position_m_mean,max_position_m_std,convergence_s_mean,convergence_s_std
Backstepping,5,0.015624215821642393,0.00041453939522039554,0.025389674493088394,0.0004993780792496821,0.03103909965624403,0.0014667779245015797,0.04051703312812935,0.0017546611325836862,0.0,0.0
Compensated BSMC,5,0.01548156636863951,0.0006479264248410788,0.02562818022603345,0.0009489431863628955,0.03107111046825054,0.0023348546666446986,0.040443963213284216,0.003101858937502288,0.0,0.0
