camera_rmse_position_m,cmd_v_delta_std,cmd_w_delta_std,command_saturation_fraction,convergence_time_s,file,k1,k2,k3,ks1,ks2,max_position_m,n_active,phi1,phi2,rmse_etheta_deg,rmse_position_m,score,trial
0.06599987998904941,0.0009348927853275992,0.004898011807600537,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_175629_eight_BSMC_fusion_optuna_t001.csv,0.4,2.4,3.5,0.0225,0.07500000000000001,0.10854268736913905,1030,1.0,1.5,13.435345496897682,0.06451684224532654,0.11800617934556504,1
0.08182114681435468,0.0022479454278928586,0.010710166070466667,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_175738_eight_BSMC_fusion_optuna_t002.csv,1.2487123327726148,7.655000144869414,7.721948505396943,0.06290944768329998,0.11010419409954823,0.13042334350498141,913,1.0,1.5,9.184411263021936,0.07979048513569585,0.13057289543631745,2
0.08292277836880826,0.0013748887229280205,0.010836847293625605,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_175848_eight_BSMC_fusion_optuna_t003.csv,0.6367846569413673,1.4065852851773961,8.862497239086949,0.0630752632926666,0.23431633000411026,0.12387838628395544,956,1.0,1.5,7.212271232108066,0.08095391015641168,0.126414964202319,3
0.061943618791209736,0.0007365230106870905,0.006698999938864254,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_175958_eight_BSMC_fusion_optuna_t004.csv,0.25763658402824685,7.78936896513396,8.575762446803584,0.03683288997078364,0.11591061762159766,0.08519285684350376,1035,1.0,1.5,7.563342867743709,0.059357856786514514,0.09678434420567637,4
0.08313236685142292,0.0014192986880065342,0.0077836525337061785,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_180107_eight_BSMC_fusion_optuna_t005.csv,0.7135326275896148,3.129695700716764,5.9604296688740215,0.051656288758342814,0.14052655654455945,0.1137422198028352,950,1.0,1.5,7.989113237886918,0.08085990954791905,0.12509377193379623,5
0.0969497830897324,0.0034800998869741573,0.010880720266274986,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_180217_eight_BSMC_fusion_optuna_t006.csv,1.9131881052226625,1.9764570245642927,3.983229512549354,0.047229424422324195,0.1776157464488331,0.15208913820861386,847,1.0,1.5,8.339758756547589,0.09570434163452277,0.1492835428588756,6
0.10302718591760807,0.004476023169456319,0.016422195652789778,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_180327_eight_BSMC_fusion_optuna_t007.csv,2.398492691900438,2.3977164751085183,5.8709927265156985,0.06248798339818787,0.0854513428619995,0.16997645514357104,839,1.0,1.5,7.174958725815071,0.10194712449642021,0.1581720282812407,7
0.08372741840336363,0.0033996306646414246,0.009206641907421724,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_180437_eight_BSMC_fusion_optuna_t008.csv,1.9011255853240272,2.193668865811041,2.0529385403748757,0.08654977376459999,0.2922672074417759,0.1403326962536287,915,1.0,1.5,12.076054808576577,0.08343247892115845,0.13984194831173155,8
0.09402548792715593,0.004477980697897345,0.014553028653131805,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_180546_eight_BSMC_fusion_optuna_t009.csv,2.4635125747260913,3.132296384213595,2.330212969054263,0.06868572928957059,0.17403431109141032,0.14861966408942504,835,1.0,1.5,6.780794637399964,0.092319256265967,0.1430057093605803,9
0.05965737897253048,0.001197201750648391,0.004913964614350504,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_180656_eight_BSMC_fusion_optuna_t010.csv,0.5417070575653806,4.466238370778891,1.7923024294793564,0.08387912714031778,0.13322549586000382,0.09518116801096178,1013,1.0,1.5,11.963673709560151,0.056529736777900894,0.10528091811914221,10
0.09590948886496459,0.005949674367820251,0.02225762425935426,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_180806_eight_BSMC_fusion_optuna_t011.csv,2.867001744647526,7.320643389821944,9.74106544169686,0.023712426604000324,0.29138689735432544,0.1513983306063101,793,1.0,1.5,6.231701221781228,0.09388561880141195,0.14572738215894945,11
0.0622992797248457,0.0008960165472634414,0.0063010530775889076,0.0,0.0,/home/hoang/Paper1/paper_logs/optuna_tuning/eight/20260712_180915_eight_BSMC_fusion_optuna_t012.csv,0.28793004904981734,5.443970360906197,6.556788161541697,0.08641992665633509,0.14227377950471778,0.09338300819726891,1038,1.0,1.5,11.17918375312429,0.06050597483364076,0.1056863869798258,12
