edge,start_s,end_s,duration_s,lateral_bias_m,lateral_waviness_rms_m,lateral_peak_to_peak_m,heading_rmse_deg,cmd_w_rms_rad_s,zero_crossings_per_m
1,7.399579286575317,22.759527921676636,15.359948635101318,0.03817989639137863,0.006867668444185054,0.02317853628908625,2.3213913042807652,0.017536084018820394,1.1538858593712613
2,29.279595375061035,45.001540422439575,15.72194504737854,0.015490983112468855,0.010348283778833713,0.03965024917839973,1.7913709993516873,0.022586933432384427,1.1613095584494582
3,51.27963924407959,67.23973655700684,15.960097312927246,0.016933872165054365,0.009405938889099753,0.03731498247707697,1.5764647076068263,0.019893567292866395,1.1639309724982334
4,73.6795392036438,89.80022549629211,16.120686292648315,0.03219614962147792,0.008940963930154923,0.03886969895506426,1.9498156161794453,0.01502302508507437,2.3065927365566914
