t,ros_time,controller,trajectory,run_id,odom_stamp,odom_x,odom_y,odom_yaw,odom_v,odom_w,camera_stamp,camera_x,camera_y,camera_yaw,desired_stamp,desired_x,desired_y,desired_yaw,error_stamp,error_ex,error_ey,error_etheta,cmd_stamp,cmd_v,cmd_w,robot_state_stamp,rpm_l_x10,rpm_r_x10,gyro_z_x1000,espnow_link_stamp,espnow_rx_time,espnow_robot_time_ms,espnow_seq,espnow_interarrival_ms,espnow_seq_gap
0.0,1784363643.2103937,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.2034194,0.03443309498564163,0.023255660122074022,0.022957598207153887,-6.221117157611783e-06,0.00021932077119295063,1784363643.1729016,0.034424278885126114,0.023275330662727356,0.022891898746679816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.03938865661621094,1784363643.2497823,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.2034194,0.03443309498564163,0.023255660122074022,0.022957598207153887,-6.221117157611783e-06,0.00021932077119295063,1784363643.2236567,0.034424278885126114,0.023275330662727356,0.022891898746679816,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.212398,0.0,0.0,-1.0,1784363643.212528,7185.828125,nan,nan,48.05353927612305,nan
0.07953548431396484,1784363643.2899292,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.252908,0.03443197801613138,0.02325750207983594,0.022955249490337178,-5.062535369995044e-06,0.00019360240867217064,1784363643.2716453,0.03442839905619621,0.02327544614672661,0.02289299331473086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.2743964,0.0,0.0,2.0,1784363643.2753835,7185.89111328125,nan,nan,62.70466613769531,nan
0.11976480484008789,1784363643.3301585,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.303603,0.03443149940620468,0.02325918274780244,0.02295274757118763,-3.737452840899632e-06,0.0001698108968835045,1784363643.319649,0.03443160280585289,0.02327555976808071,0.02290029989415474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.3134522,0.0,0.0,-1.0,1784363643.3145986,7185.92822265625,nan,nan,37.20363998413086,nan
0.15938019752502441,1784363643.3697739,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.3533413,0.03443148184674867,0.023260717345033804,0.022950775453210136,-2.612333679885877e-06,0.00014971303372374393,1784363643.319649,0.03443160280585289,0.02327555976808071,0.02290029989415474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.3627095,0.0,0.0,-1.0,1784363643.3647563,7185.97900390625,nan,nan,51.01514434814453,nan
0.20009875297546387,1784363643.4104924,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.4036088,0.03443147778907568,0.02326211311059338,0.02294838033032736,-1.798991048933045e-06,0.00013086960305201266,1784363643.3701346,0.03443160280585289,0.02327555976808071,0.02290029989415474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.3627095,0.0,0.0,-1.0,1784363643.3647563,7185.97900390625,nan,nan,51.01514434814453,nan
0.2398662567138672,1784363643.45026,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.4036088,0.03443147778907568,0.02326211311059338,0.02294838033032736,-1.798991048933045e-06,0.00013086960305201266,1784363643.420485,0.03443160280585289,0.02327555976808071,0.02290029989415474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.412318,0.0,0.0,0.0,1784363643.4150174,7186.02880859375,nan,nan,49.76845169067383,nan
0.2794623374938965,1784363643.489856,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.4526815,0.03443148422126695,0.023263381168335318,0.022945485854884314,-1.2239844467201573e-06,0.00011339414571332469,1784363643.4707518,0.03443160280585289,0.02327555976808071,0.02290029989415474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.4743023,0.0,0.0,-3.0,1784363643.4743752,7186.08837890625,nan,nan,59.309146881103516,nan
0.3197336196899414,1784363643.5301273,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.5026994,0.03443149362030853,0.023264532185294246,0.02294247887684543,-8.099667353649886e-07,9.726966862629344e-05,1784363643.521703,0.03443160280585289,0.02327555976808071,0.02290029989415474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.5136302,0.0,0.0,1.0,1784363643.51714,7186.13037109375,nan,nan,41.98812484741211,nan
0.35948967933654785,1784363643.5698833,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.5527403,0.03443150534934056,0.023265577262859768,0.022939327508013505,-5.40087894372066e-07,8.264007264444891e-05,1784363643.5690885,0.03443160280585289,0.02327555976808071,0.02290029989415474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.5626957,0.0,0.0,0.0,1784363643.56332,7186.17919921875,nan,nan,48.86640167236328,nan
0.3994925022125244,1784363643.6098862,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.6027076,0.03443151781499793,0.023266519717421576,0.022936191227231117,-3.527789602094964e-07,6.959168411232567e-05,1784363643.5690885,0.03443160280585289,0.02327555976808071,0.02290029989415474,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.5626957,0.0,0.0,0.0,1784363643.56332,7186.17919921875,nan,nan,48.86640167236328,nan
0.4402008056640625,1784363643.6505945,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.6027076,0.03443151781499793,0.023266519717421576,0.022936191227231117,-3.527789602094964e-07,6.959168411232567e-05,1784363643.621971,0.03443160280585289,0.023275788873434067,0.02290000803918176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.61357,0.0,0.0,0.0,1784363643.6165197,7186.22900390625,nan,nan,50.03600311279297,nan
0.47987914085388184,1784363643.6902728,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.652753,0.034431530586628525,0.023267400524978287,0.02293296040817727,-2.2207712142626824e-07,5.7674754926716006e-05,1784363643.6704361,0.03443160280585289,0.023275788873434067,0.02290000803918176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.6631021,0.0,0.0,-3.0,1784363643.6656947,7186.279296875,nan,nan,50.37837219238281,nan
0.519634485244751,1784363643.7300282,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.7027194,0.034431542542712516,0.023268195641918274,0.022929834572462737,-1.3311765565542036e-07,4.716305199228806e-05,1784363643.721139,0.03443160280585289,0.023275788873434067,0.02290000803918176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.7156713,0.0,0.0,-1.0,1784363643.7193146,7186.33251953125,nan,nan,52.792076110839844,nan
0.55926513671875,1784363643.7696588,BSMC,eight,eight_amp1_final_candidate_k3_800,1784363643.7527237,0.034431553472666764,0.023268916752105413,0.022926809817217415,-7.287550221826985e-08,3.785209583553159e-05,1784363643.721139,0.03443160280585289,0.023275788873434067,0.02290000803918176,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1784363643.764172,0.0,0.0,0.0,1784363643.7662213,7186.380859375,nan,nan,48.425106048583984,nan
