Time,Odom_X,Odom_Y,Odom_Yaw(deg),Cam_X,Cam_Y,Cam_Yaw(deg),Diff_X,Diff_Y,Diff_Yaw
3.71,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.77,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.81,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.86,0.000,0.000,0.0,-1.110,1.159,2.6,-1.110,1.159,2.6
3.91,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
3.96,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.02,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.06,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.12,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.16,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.21,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.27,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.32,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.37,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.42,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.47,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.52,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.57,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.62,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.67,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.72,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.77,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.82,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.87,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.92,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
4.98,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.03,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.07,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.12,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.17,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.22,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.27,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.33,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.37,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.42,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.47,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.53,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.57,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.63,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.67,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.73,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.77,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.82,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.88,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.92,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
5.97,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.02,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
6.07,0.000,0.000,0.0,-1.110,1.159,2.7,-1.110,1.159,2.7
